# Transit light curve
# generated: 2026-09-07T14:29:11.629578+00:00
# target_ra_deg: 289.43463
# target_dec_deg: 49.4734
# n_comparison_stars: 3
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461282.539267 1.003983 0.007075
2461282.539977 0.993903 0.006967
2461282.540686 1.047376 0.007447
2461282.541392 0.985933 0.006950
2461282.542099 0.996015 0.007021
2461282.542808 0.980882 0.006892
2461282.543516 1.003077 0.006976
2461282.544223 0.971489 0.006798
2461282.544936 1.023079 0.007118
2461282.545644 0.989961 0.007003
2461282.546352 1.014783 0.007015
2461282.547061 0.977753 0.006907
2461282.547773 1.006550 0.007014
2461282.548480 0.995168 0.006913
2461282.549188 0.993593 0.006921
2461282.549896 1.019261 0.007068
2461282.550604 0.984995 0.006899
2461282.551316 0.996245 0.006927
2461282.552024 1.013477 0.007073
2461282.552735 1.015222 0.007025
2461282.553443 0.982614 0.006771
2461282.554152 1.013803 0.007075
2461282.554866 0.977812 0.006879
2461282.555574 0.992674 0.007142
2461282.556269 1.001521 0.008144
2461282.556977 0.971669 0.006960
2461282.557685 1.004618 0.007063
2461282.558394 0.994112 0.006952
2461282.559106 0.999889 0.006981
2461282.559813 0.983921 0.007050
2461282.560527 1.000111 0.007768
2461282.561237 1.066314 0.007946
2461282.561949 1.005689 0.007436
2461282.562656 1.009162 0.007193
2461282.563363 1.017386 0.007399
2461282.570899 1.020179 0.007069
2461282.571607 0.996825 0.006938
2461282.572317 0.983462 0.006914
2461282.573027 0.997902 0.006905
2461282.573735 1.009763 0.006920
2461282.574442 0.991154 0.006869
2461282.575150 1.019678 0.007150
2461282.575857 1.039471 0.007156
2461282.576565 0.965636 0.006865
2461282.577274 1.018256 0.007176
2461282.577986 0.990395 0.006797
2461282.578693 0.991575 0.006810
2461282.579400 0.998396 0.007192
2461282.580107 1.010483 0.007067
2461282.580814 0.989441 0.006875
2461282.581526 1.013139 0.006944
2461282.582236 1.002815 0.006937
2461282.582945 1.025270 0.007030
2461282.583652 1.025448 0.006988
2461282.584360 0.981138 0.006686
2461282.585068 0.994696 0.006812
2461282.585779 0.992805 0.006812
2461282.586488 0.990088 0.006811
2461282.587196 1.012727 0.006985
2461282.587904 1.013748 0.006961
2461282.588611 1.003514 0.006876
2461282.589319 0.973605 0.006721
2461282.590027 1.000092 0.006829
2461282.590758 1.005264 0.006994
2461282.591465 0.998865 0.006942
2461282.592173 1.006106 0.006953
2461282.592882 0.996053 0.006955
2461282.593590 0.985126 0.006822
2461282.594298 0.998628 0.006811
2461282.595010 1.006755 0.006973
