# Transit light curve
# generated: 2026-09-18T02:16:46.811907+00:00
# target_ra_deg: 359.793
# target_dec_deg: 39.3143
# n_comparison_stars: 4
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461299.623914 1.009076 0.001791
2461299.625309 1.009009 0.001794
2461299.626703 1.008832 0.001796
2461299.628097 1.008137 0.001796
2461299.629492 1.008353 0.001794
2461299.630888 1.009640 0.001798
2461299.632283 1.010910 0.001798
2461299.633677 1.006457 0.001794
2461299.635072 1.009008 0.001795
2461299.636466 1.001840 0.001791
2461299.637861 1.004469 0.001795
2461299.639255 1.002182 0.001789
2461299.640649 1.010294 0.001808
2461299.643438 1.005898 0.001797
2461299.644833 1.007831 0.001800
2461299.646227 1.006563 0.001798
2461299.647622 1.005688 0.001801
2461299.649017 1.003547 0.001799
2461299.651806 0.997588 0.001788
2461299.653201 0.999681 0.001788
2461299.654596 1.005708 0.001802
2461299.655991 1.009393 0.001804
2461299.657385 0.998717 0.001784
2461299.658780 1.003884 0.001791
2461299.660173 1.007706 0.001793
2461299.661568 1.005843 0.001794
2461299.662963 0.994800 0.001788
2461299.664357 1.005365 0.001797
2461299.665752 0.996108 0.001791
2461299.667146 1.002217 0.001786
2461299.668540 1.003164 0.001788
2461299.669935 1.005517 0.001785
2461299.671329 1.005578 0.001801
2461299.672723 1.000771 0.001791
2461299.674118 0.999909 0.001788
2461299.675512 0.998792 0.001786
2461299.676906 1.000837 0.001790
2461299.678301 0.991037 0.001787
2461299.679694 0.994704 0.001792
2461299.681088 0.999227 0.001808
2461299.682483 0.998685 0.001809
2461299.683878 1.000091 0.001810
2461299.685272 0.995436 0.001795
2461299.686666 0.987432 0.001781
2461299.688060 0.990662 0.001787
2461299.689456 0.988661 0.001774
2461299.690850 0.990530 0.001772
2461299.692244 0.991510 0.001773
2461299.693638 0.987647 0.001762
2461299.695034 0.990336 0.001765
2461299.696428 0.988978 0.001767
2461299.697823 0.985949 0.001761
2461299.699217 0.985442 0.001764
2461299.700611 0.984888 0.001762
2461299.702006 0.986475 0.001759
2461299.703401 0.991225 0.001767
2461299.704795 0.991981 0.001770
2461299.706189 0.990203 0.001771
2461299.707584 0.989787 0.001772
2461299.708978 0.983689 0.001770
2461299.710372 0.991143 0.001778
2461299.711767 0.987193 0.001771
2461299.713162 0.982871 0.001766
2461299.714557 0.984217 0.001761
2461299.715952 0.987559 0.001757
2461299.717346 0.985633 0.001767
2461299.718741 0.987321 0.001764
2461299.720135 0.984531 0.001759
2461299.724065 0.983795 0.001793
2461299.729644 0.987605 0.002122
2461299.732432 0.998513 0.002019
2461299.735221 0.983186 0.001789
2461299.736616 0.998397 0.001774
2461299.738010 0.987416 0.001754
2461299.739404 0.987542 0.001753
2461299.740799 0.987808 0.001747
2461299.742193 0.992434 0.001754
2461299.743588 0.997733 0.001759
2461299.744982 0.993326 0.001755
2461299.746376 0.987016 0.001748
2461299.747771 0.993546 0.001753
2461299.749165 0.991759 0.001753
2461299.750560 0.989774 0.001749
2461299.751954 0.991217 0.001749
2461299.753348 0.996793 0.001756
2461299.754742 0.999776 0.001759
2461299.756136 0.997240 0.001751
2461299.757530 1.007085 0.001766
2461299.758925 1.005217 0.001763
2461299.760319 1.001542 0.001765
2461299.761713 1.005874 0.001779
2461299.763107 1.000924 0.001765
2461299.765896 1.008599 0.001777
2461299.767291 1.010576 0.001784
2461299.768686 1.008290 0.001778
2461299.770080 1.001346 0.001770
2461299.771474 1.010312 0.001781
2461299.772869 1.002023 0.001774
2461299.774263 1.007023 0.001782
2461299.775657 1.008068 0.001785
2461299.777051 1.005901 0.001778
2461299.778445 1.009624 0.001782
2461299.779840 1.004995 0.001778
2461299.781235 0.998798 0.001770
2461299.782629 1.007772 0.001786
2461299.784024 1.007057 0.001784
2461299.785418 1.001909 0.001777
2461299.786813 0.998593 0.001770
2461299.788207 1.005486 0.001781
2461299.789601 0.995309 0.001765
2461299.790996 1.004051 0.001773
2461299.792390 1.010868 0.001785
2461299.793785 1.004293 0.001783
2461299.795179 0.997717 0.001773
2461299.796573 1.005174 0.001788
2461299.797967 1.004314 0.001799
2461299.799361 1.003493 0.001798
2461299.800755 1.007193 0.001806
2461299.802149 1.005124 0.001797
2461299.803543 1.001120 0.001792
2461299.804938 0.997912 0.001790
2461299.806331 1.006527 0.001797
