# Transit light curve
# generated: 2026-09-08T03:13:15.080837+00:00
# target_ra_deg: 305.222
# target_dec_deg: 59.4489
# n_comparison_stars: 5
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461290.639511 1.001864 0.005071
2461290.640911 1.007306 0.005157
2461290.642322 1.003284 0.005150
2461290.643716 0.996821 0.005109
2461290.645125 1.017225 0.005162
2461290.646411 1.002167 0.005098
2461290.647815 0.993904 0.005074
2461290.649218 1.012695 0.005202
2461290.650622 1.008617 0.005216
2461290.652148 1.005892 0.005188
2461290.653551 1.010710 0.005188
2461290.654906 1.019074 0.005217
2461290.656311 1.024897 0.005240
2461290.657716 1.003246 0.005116
2461290.659120 1.019613 0.005235
2461290.660523 0.988555 0.005089
2461290.661966 1.006609 0.005124
2461290.663373 1.002855 0.005117
2461290.664781 1.002034 0.005095
2461290.666180 1.004942 0.005116
2461290.667584 1.002640 0.005155
2461290.668988 0.995925 0.005078
2461290.670399 1.007314 0.005150
2461290.671804 1.001599 0.005135
2461290.673208 1.005202 0.005124
2461290.674607 1.017775 0.005218
2461290.675998 1.007870 0.005185
2461290.677297 1.004479 0.005133
2461290.678819 1.010313 0.005161
2461290.680222 1.008064 0.005156
2461290.681624 0.990764 0.005068
2461290.683029 0.986127 0.005053
2461290.684429 0.999211 0.005131
2461290.685836 0.980967 0.005013
2461290.687237 1.010759 0.005149
2461290.688648 0.999367 0.005124
2461290.690046 0.985955 0.005062
2461290.691458 1.005197 0.005128
2461290.692862 0.980872 0.005023
2461290.694264 0.956381 0.004931
2461290.695660 0.984447 0.005064
2461290.697068 0.980870 0.005028
2461290.698470 0.998679 0.005082
2461290.699873 0.988720 0.005112
2461290.701277 0.981040 0.005022
2461290.702680 0.996600 0.005097
2461290.704083 0.983879 0.005061
2461290.705487 0.999925 0.005098
2461290.706891 0.984050 0.005044
2461290.708297 0.984265 0.005060
2461290.709703 0.988780 0.005090
2461290.711107 0.986091 0.005028
2461290.712512 0.986636 0.005070
2461290.713918 0.988731 0.005094
2461290.715321 0.986191 0.005084
2461290.716724 0.991842 0.005085
2461290.718128 0.986634 0.005107
2461290.719531 0.984766 0.005020
2461290.720937 0.986058 0.005061
2461290.722291 0.978370 0.005010
2461290.723694 0.999642 0.005130
2461290.725097 0.966921 0.005036
2461290.726484 0.988337 0.005131
2461290.727781 0.999161 0.005155
2461290.729186 0.959476 0.004983
2461290.730661 0.960251 0.004927
2461290.732067 0.971931 0.005043
2461290.733505 1.011591 0.005221
2461290.734911 0.984901 0.005091
2461290.736379 0.980782 0.005087
2461290.737786 0.987684 0.005110
2461290.739184 0.978796 0.005040
2461290.740592 1.006391 0.005195
2461290.741821 0.987280 0.005086
2461290.743245 0.970955 0.005014
2461290.744651 1.001076 0.005092
2461290.746055 0.998291 0.005089
2461290.747458 0.985681 0.005035
2461290.748863 1.009549 0.005141
2461290.750271 1.010807 0.005119
2461290.751673 1.009433 0.005142
2461290.753079 0.992767 0.005041
2461290.754485 1.003591 0.005105
2461290.755890 1.014104 0.005163
2461290.757295 1.020159 0.005173
2461290.758698 0.993934 0.005068
2461290.760101 1.010638 0.005149
2461290.761507 1.001657 0.005111
2461290.762912 1.003747 0.005130
2461290.764315 0.994678 0.005104
2461290.765719 1.009422 0.005202
2461290.767123 1.002666 0.005168
2461290.768526 1.033722 0.005276
2461290.769930 1.003275 0.005147
2461290.771335 1.002005 0.005160
2461290.772741 1.000075 0.005137
2461290.774145 0.997705 0.005129
2461290.775547 1.005613 0.005156
2461290.776950 1.010581 0.005138
2461290.778353 1.013466 0.005152
2461290.779761 1.009229 0.005128
2461290.781164 1.016522 0.005187
